Tense	VerbForm	Voice	Mood	Person	Number	label
Pres	Fin	Act	Ind	1	Sing	Ενεστ. ενεργ. οριστ. α' εν.
Pres	Fin	Act	Ind	2	Sing	Ενεστ. ενεργ. οριστ. β' εν.
Pres	Fin	Act	Ind	3	Sing	Ενεστ. ενεργ. οριστ. γ' εν.
Pres	Fin	Act	Ind	1	Plur	Ενεστ. ενεργ. οριστ. α' πλ.
Pres	Fin	Act	Ind	2	Plur	Ενεστ. ενεργ. οριστ. β' πλ.
Pres	Fin	Act	Ind	3	Plur	Ενεστ. ενεργ. οριστ. γ' πλ.
Pres	Fin	Act	Sub	1	Sing	Ενεστ. ενεργ. υποτ. α' εν.
Pres	Fin	Act	Sub	2	Sing	Ενεστ. ενεργ. υποτ. β' εν.
Pres	Fin	Act	Sub	3	Sing	Ενεστ. ενεργ. υποτ. γ' εν.
Pres	Fin	Act	Sub	1	Plur	Ενεστ. ενεργ. υποτ. α' πλ.
Pres	Fin	Act	Sub	2	Plur	Ενεστ. ενεργ. υποτ. β' πλ.
Pres	Fin	Act	Sub	3	Plur	Ενεστ. ενεργ. υποτ. γ' πλ.
Pres	Fin	Act	Opt	1	Sing	Ενεστ. ενεργ. ευκτ. α' εν.
Pres	Fin	Act	Opt	2	Sing	Ενεστ. ενεργ. ευκτ. β' εν.
Pres	Fin	Act	Opt	3	Sing	Ενεστ. ενεργ. ευκτ. γ' εν.
Pres	Fin	Act	Opt	1	Plur	Ενεστ. ενεργ. ευκτ. α' πλ.
Pres	Fin	Act	Opt	2	Plur	Ενεστ. ενεργ. ευκτ. β' πλ.
Pres	Fin	Act	Opt	3	Plur	Ενεστ. ενεργ. ευκτ. γ' πλ.
Pres	Fin	Act	Imp	2	Sing	Ενεστ. ενεργ. προστ. β' εν.
Pres	Fin	Act	Imp	2	Plur	Ενεστ. ενεργ. προστ. β' πλ.
Pres	Inf	Act			Ενεστ. ενεργ. απαρ.
Imp	Fin	Act	Ind	1	Sing	Παρατ. ενεργ. οριστ. α' εν.
Imp	Fin	Act	Ind	2	Sing	Παρατ. ενεργ. οριστ. β' εν.
Imp	Fin	Act	Ind	3	Sing	Παρατ. ενεργ. οριστ. γ' εν.
Imp	Fin	Act	Ind	1	Plur	Παρατ. ενεργ. οριστ. α' πλ.
Imp	Fin	Act	Ind	2	Plur	Παρατ. ενεργ. οριστ. β' πλ.
Imp	Fin	Act	Ind	3	Plur	Παρατ. ενεργ. οριστ. γ' πλ.
Aor	Fin	Act	Ind	1	Sing	Αόρ. ενεργ. οριστ. α' εν.
Aor	Fin	Act	Ind	2	Sing	Αόρ. ενεργ. οριστ. β' εν.
Aor	Fin	Act	Ind	3	Sing	Αόρ. ενεργ. οριστ. γ' εν.
Aor	Fin	Act	Ind	1	Plur	Αόρ. ενεργ. οριστ. α' πλ.
Aor	Fin	Act	Ind	2	Plur	Αόρ. ενεργ. οριστ. β' πλ.
Aor	Fin	Act	Ind	3	Plur	Αόρ. ενεργ. οριστ. γ' πλ.
Aor	Fin	Act	Sub	1	Sing	Αόρ. ενεργ. υποτ. α' εν.
Aor	Fin	Act	Sub	2	Sing	Αόρ. ενεργ. υποτ. β' εν.
Aor	Fin	Act	Sub	3	Sing	Αόρ. ενεργ. υποτ. γ' εν.
Aor	Fin	Act	Sub	1	Plur	Αόρ. ενεργ. υποτ. α' πλ.
Aor	Fin	Act	Sub	2	Plur	Αόρ. ενεργ. υποτ. β' πλ.
Aor	Fin	Act	Sub	3	Plur	Αόρ. ενεργ. υποτ. γ' πλ.
Aor	Fin	Act	Opt	1	Sing	Αόρ. ενεργ. ευκτ. α' εν.
Aor	Fin	Act	Opt	2	Sing	Αόρ. ενεργ. ευκτ. β' εν.
Aor	Fin	Act	Opt	3	Sing	Αόρ. ενεργ. ευκτ. γ' εν.
Aor	Fin	Act	Opt	1	Plur	Αόρ. ενεργ. ευκτ. α' πλ.
Aor	Fin	Act	Opt	2	Plur	Αόρ. ενεργ. ευκτ. β' πλ.
Aor	Fin	Act	Opt	3	Plur	Αόρ. ενεργ. ευκτ. γ' πλ.
Aor	Fin	Act	Imp	2	Sing	Αόρ. ενεργ. προστ. β' εν.
Aor	Fin	Act	Imp	2	Plur	Αόρ. ενεργ. προστ. β' πλ.
Aor	Inf	Act			Αόρ. ενεργ. απαρ.
Fut	Fin	Act	Ind	1	Sing	Μέλλ. ενεργ. οριστ. α' εν.
Fut	Fin	Act	Ind	2	Sing	Μέλλ. ενεργ. οριστ. β' εν.
Fut	Fin	Act	Ind	3	Sing	Μέλλ. ενεργ. οριστ. γ' εν.
Fut	Fin	Act	Ind	1	Plur	Μέλλ. ενεργ. οριστ. α' πλ.
Fut	Fin	Act	Ind	2	Plur	Μέλλ. ενεργ. οριστ. β' πλ.
Fut	Fin	Act	Ind	3	Plur	Μέλλ. ενεργ. οριστ. γ' πλ.
Perf	Fin	Act	Ind	1	Sing	Παρακ. ενεργ. οριστ. α' εν.
Perf	Fin	Act	Ind	2	Sing	Παρακ. ενεργ. οριστ. β' εν.
Perf	Fin	Act	Ind	3	Sing	Παρακ. ενεργ. οριστ. γ' εν.
Perf	Fin	Act	Ind	1	Plur	Παρακ. ενεργ. οριστ. α' πλ.
Perf	Fin	Act	Ind	2	Plur	Παρακ. ενεργ. οριστ. β' πλ.
Perf	Fin	Act	Ind	3	Plur	Παρακ. ενεργ. οριστ. γ' πλ.
Pres	Fin	Mid	Ind	1	Sing	Ενεστ. μέσ. οριστ. α' εν.
Pres	Fin	Mid	Ind	2	Sing	Ενεστ. μέσ. οριστ. β' εν.
Pres	Fin	Mid	Ind	3	Sing	Ενεστ. μέσ. οριστ. γ' εν.
Pres	Fin	Mid	Ind	1	Plur	Ενεστ. μέσ. οριστ. α' πλ.
Pres	Fin	Mid	Ind	2	Plur	Ενεστ. μέσ. οριστ. β' πλ.
Pres	Fin	Mid	Ind	3	Plur	Ενεστ. μέσ. οριστ. γ' πλ.
Pres	Inf	Mid			Ενεστ. μέσ. απαρ.
Aor	Fin	Mid	Ind	1	Sing	Αόρ. μέσ. οριστ. α' εν.
Aor	Fin	Mid	Ind	2	Sing	Αόρ. μέσ. οριστ. β' εν.
Aor	Fin	Mid	Ind	3	Sing	Αόρ. μέσ. οριστ. γ' εν.
Aor	Fin	Mid	Ind	1	Plur	Αόρ. μέσ. οριστ. α' πλ.
Aor	Fin	Mid	Ind	2	Plur	Αόρ. μέσ. οριστ. β' πλ.
Aor	Fin	Mid	Ind	3	Plur	Αόρ. μέσ. οριστ. γ' πλ.
Aor	Fin	Mid	Imp	2	Sing	Αόρ. μέσ. προστ. β' εν.
Aor	Fin	Mid	Imp	2	Plur	Αόρ. μέσ. προστ. β' πλ.
Aor	Inf	Mid			Αόρ. μέσ. απαρ.
Pres	Fin	Pass	Ind	1	Sing	Ενεστ. παθ. οριστ. α' εν.
Pres	Fin	Pass	Ind	2	Sing	Ενεστ. παθ. οριστ. β' εν.
Pres	Fin	Pass	Ind	3	Sing	Ενεστ. παθ. οριστ. γ' εν.
Pres	Fin	Pass	Ind	1	Plur	Ενεστ. παθ. οριστ. α' πλ.
Pres	Fin	Pass	Ind	2	Plur	Ενεστ. παθ. οριστ. β' πλ.
Pres	Fin	Pass	Ind	3	Plur	Ενεστ. παθ. οριστ. γ' πλ.
Aor	Fin	Pass	Ind	1	Sing	Αόρ. παθ. οριστ. α' εν.
Aor	Fin	Pass	Ind	2	Sing	Αόρ. παθ. οριστ. β' εν.
Aor	Fin	Pass	Ind	3	Sing	Αόρ. παθ. οριστ. γ' εν.
Aor	Fin	Pass	Ind	1	Plur	Αόρ. παθ. οριστ. α' πλ.
Aor	Fin	Pass	Ind	2	Plur	Αόρ. παθ. οριστ. β' πλ.
Aor	Fin	Pass	Ind	3	Plur	Αόρ. παθ. οριστ. γ' πλ.
